,java_lang_ClassLoading_LoadedClassCount,java_lang_Compilation_TotalCompilationTime,java_lang_MemoryPool_CollectionUsage_committed,java_lang_Memory_HeapMemoryUsage_used,java_lang_OperatingSystem_FreePhysicalMemorySize,java_lang_OperatingSystem_FreeSwapSpaceSize,java_lang_OperatingSystem_ProcessCpuLoad,java_lang_OperatingSystem_SystemCpuLoad,java_lang_Runtime_Uptime,java_lang_Threading_CurrentThreadUserTime,java_lang_Threading_TotalStartedThreadCount,java_nio_BufferPool_MemoryUsed,jvm_memory_bytes_used,scrape_duration_seconds
0,1891.0,1123.0,29360128.0,13612288.0,1153204200.0,2232025000.0,0.0016932351,0.3224006,71408.0,0.0,17.0,40976.0,15845400.0,0.0767887
1,1953.0,3887.0,28311552.0,31106632.0,1271013400.0,2139394000.0,0.00039052503,0.3011372,566404.0,156250000.0,17.0,40976.0,32588656.0,0.0669964
2,1953.0,4479.0,26738688.0,30778496.0,1110810600.0,1929445400.0,0.00052086596,0.347268,896401.0,140625000.0,17.0,40976.0,32267448.0,0.0590082
3,1953.0,4634.0,25690112.0,22988848.0,1573007400.0,2502099000.0,0.0006508846,0.38990113,1076401.0,250000000.0,17.0,40976.0,24432104.0,0.0556567
4,2208.0,5960.0,23068672.0,25751736.0,1046945800.0,2445344800.0,0.0014325741,0.3500026,2756402.0,500000000.0,23.0,40976.0,27202784.0,0.0469382
5,2009.0,4998.0,24802856.0,21448856.0,1147762800.0,2271947800.0,0.0012124237,0.4184455,1758903.0,385416670.0,18.0,40625.0,21060916.0,2.303939
6,1953.0,4489.0,26214400.0,11699464.0,1130483700.0,1966948400.0,0.0007801757,0.34187987,926405.0,187500000.0,17.0,40976.0,13127464.0,0.0849851
7,1953.0,5170.0,23068672.0,26499744.0,783044600.0,2460889000.0,0.0006500344,0.50389814,1676404.0,296875000.0,17.0,40976.0,28023824.0,0.0809589
8,1953.0,5761.0,23068672.0,27824696.0,1987563500.0,2651930600.0,0.00052041793,0.25458223,2606401.0,500000000.0,17.0,40976.0,29221712.0,0.0589981
9,2211.0,6335.0,23068672.0,27428040.0,997560300.0,2970529800.0,0.0007795524,0.36296692,2936401.0,796875000.0,23.0,40976.0,28959872.0,0.0860044
