time,java_lang_ClassLoading_LoadedClassCount,java_lang_ClassLoading_TotalLoadedClassCount,java_lang_ClassLoading_UnloadedClassCount,java_lang_ClassLoading_Verbose,java_lang_Compilation_CompilationTimeMonitoringSupported,java_lang_Compilation_TotalCompilationTime,java_lang_GarbageCollector_CollectionCount,java_lang_GarbageCollector_CollectionTime,java_lang_GarbageCollector_LastGcInfo_GcThreadCount,java_lang_GarbageCollector_LastGcInfo_duration,java_lang_GarbageCollector_LastGcInfo_endTime,java_lang_GarbageCollector_LastGcInfo_id,java_lang_GarbageCollector_LastGcInfo_memoryUsageAfterGc_committed,java_lang_GarbageCollector_LastGcInfo_memoryUsageAfterGc_init,java_lang_GarbageCollector_LastGcInfo_memoryUsageAfterGc_max,java_lang_GarbageCollector_LastGcInfo_memoryUsageAfterGc_used,java_lang_GarbageCollector_LastGcInfo_memoryUsageBeforeGc_committed,java_lang_GarbageCollector_LastGcInfo_memoryUsageBeforeGc_init,java_lang_GarbageCollector_LastGcInfo_memoryUsageBeforeGc_max,java_lang_GarbageCollector_LastGcInfo_memoryUsageBeforeGc_used,java_lang_GarbageCollector_LastGcInfo_startTime,java_lang_GarbageCollector_Valid,java_lang_MemoryManager_Valid,java_lang_MemoryPool_CollectionUsageThreshold,java_lang_MemoryPool_CollectionUsageThresholdCount,java_lang_MemoryPool_CollectionUsageThresholdExceeded,java_lang_MemoryPool_CollectionUsageThresholdSupported,java_lang_MemoryPool_CollectionUsage_committed,java_lang_MemoryPool_CollectionUsage_init,java_lang_MemoryPool_CollectionUsage_max,java_lang_MemoryPool_CollectionUsage_used,java_lang_MemoryPool_PeakUsage_committed,java_lang_MemoryPool_PeakUsage_init,java_lang_MemoryPool_PeakUsage_max,java_lang_MemoryPool_PeakUsage_used,java_lang_MemoryPool_UsageThreshold,java_lang_MemoryPool_UsageThresholdCount,java_lang_MemoryPool_UsageThresholdExceeded,java_lang_MemoryPool_UsageThresholdSupported,java_lang_MemoryPool_Usage_committed,java_lang_MemoryPool_Usage_init,java_lang_MemoryPool_Usage_max,java_lang_MemoryPool_Usage_used,java_lang_MemoryPool_Valid,java_lang_Memory_HeapMemoryUsage_committed,java_lang_Memory_HeapMemoryUsage_init,java_lang_Memory_HeapMemoryUsage_max,java_lang_Memory_HeapMemoryUsage_used,java_lang_Memory_NonHeapMemoryUsage_committed,java_lang_Memory_NonHeapMemoryUsage_init,java_lang_Memory_NonHeapMemoryUsage_max,java_lang_Memory_NonHeapMemoryUsage_used,java_lang_Memory_ObjectPendingFinalizationCount,java_lang_Memory_Verbose,java_lang_OperatingSystem_AvailableProcessors,java_lang_OperatingSystem_CommittedVirtualMemorySize,java_lang_OperatingSystem_FreePhysicalMemorySize,java_lang_OperatingSystem_FreeSwapSpaceSize,java_lang_OperatingSystem_ProcessCpuLoad,java_lang_OperatingSystem_ProcessCpuTime,java_lang_OperatingSystem_SystemCpuLoad,java_lang_OperatingSystem_SystemLoadAverage,java_lang_OperatingSystem_TotalPhysicalMemorySize,java_lang_OperatingSystem_TotalSwapSpaceSize,java_lang_Runtime_BootClassPathSupported,java_lang_Runtime_StartTime,java_lang_Runtime_Uptime,java_lang_Threading_CurrentThreadCpuTime,java_lang_Threading_CurrentThreadCpuTimeSupported,java_lang_Threading_CurrentThreadUserTime,java_lang_Threading_DaemonThreadCount,java_lang_Threading_ObjectMonitorUsageSupported,java_lang_Threading_PeakThreadCount,java_lang_Threading_SynchronizerUsageSupported,java_lang_Threading_ThreadAllocatedMemoryEnabled,java_lang_Threading_ThreadAllocatedMemorySupported,java_lang_Threading_ThreadContentionMonitoringEnabled,java_lang_Threading_ThreadContentionMonitoringSupported,java_lang_Threading_ThreadCount,java_lang_Threading_ThreadCpuTimeEnabled,java_lang_Threading_ThreadCpuTimeSupported,java_lang_Threading_TotalStartedThreadCount,java_nio_BufferPool_Count,java_nio_BufferPool_MemoryUsed,java_nio_BufferPool_TotalCapacity,jmx_config_reload_failure_total,jmx_config_reload_success_total,jmx_exporter_build_info,jmx_scrape_cached_beans,jmx_scrape_duration_seconds,jmx_scrape_error,jvm_buffer_pool_capacity_bytes,jvm_buffer_pool_used_buffers,jvm_buffer_pool_used_bytes,jvm_classes_loaded,jvm_classes_loaded_total,jvm_classes_unloaded_total,jvm_gc_collection_seconds_count,jvm_gc_collection_seconds_sum,jvm_info,jvm_memory_bytes_committed,jvm_memory_bytes_init,jvm_memory_bytes_max,jvm_memory_bytes_used,jvm_memory_pool_allocated_bytes_total,jvm_memory_pool_bytes_committed,jvm_memory_pool_bytes_init,jvm_memory_pool_bytes_max,jvm_memory_pool_bytes_used,jvm_threads_current,jvm_threads_daemon,jvm_threads_deadlocked,jvm_threads_deadlocked_monitor,jvm_threads_peak,jvm_threads_started_total,jvm_threads_state,process_cpu_seconds_total,process_start_time_seconds,scrape_duration_seconds,scrape_samples_post_metric_relabeling,scrape_samples_scraped,scrape_series_added,up
1.607717571354E9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2.3171113,0,0,0,0
1.607718246354E9,1953,1953,0,0,1,3901,1,10,8,10,999,1,2555904,2555904,251658240,1795072,2555904,2555904,251658240,1795072,989,1,1,0,0,0,0,27787264,29360128,610795520,0,4587520,2555904,251658240,4450304,0,0,0,1,4587520,2555904,251658240,4401792,1,110624768,117440512,1655701504,14153264,17432576,2555904,-1,16379968,0,0,8,248573952,1073803264,1920593920,0.0005210315511030914,8171875000,0.42751676482253254,-1,7448702976,12012105728,1,1607717635092,611401,1328125000,1,453125000,14,1,16,1,1,1,0,1,16,1,1,17,6,40976,40976,0,0,1,0,0.0520135,0,40976,6,40976,1953,1953,0,1,0.01,1,110624768,117440512,1655701504,15588024,4470272,4587520,2555904,251658240,4388736,16,14,0,0,16,17,0,8.171875,1607717635.092,0.0569783,335,335,0,1
1.607719746354E9,1953,1953,0,0,1,5594,1,10,8,10,999,1,2555904,2555904,251658240,1795072,2555904,2555904,251658240,1795072,989,1,1,0,0,0,0,23068672,29360128,611844096,0,5111808,2555904,251658240,5067648,0,0,0,1,5111808,2555904,251658240,5040000,1,105906176,117440512,1655701504,19758376,17956864,2555904,-1,17219440,0,0,8,242753536,2191241216,2604101632,0.00039102166280199067,15031250000,0.28320916404424723,-1,7448702976,12539752448,1,1607717635092,2111402,2359375000,1,687500000,14,1,16,1,1,1,0,1,16,1,1,17,6,40976,40976,0,0,1,0,0.0526512,0,40976,6,40976,1953,1953,0,1,0.01,1,105906176,117440512,1655701504,21225344,5279232,5111808,2555904,251658240,5040000,16,14,0,0,16,17,0,15.046875,1607717635.092,0.0610464,335,335,0,1
1.607720616354E9,2211,2211,0,0,1,6337,1,10,8,10,999,1,2555904,2555904,251658240,1795072,2555904,2555904,251658240,1795072,989,1,1,0,0,0,0,23068672,29360128,614465536,0,5963776,2555904,251658240,5863808,0,0,0,1,5963776,2555904,251658240,5860928,1,104857600,117440512,1655701504,15697992,20905984,2555904,-1,19774480,0,0,8,245694464,1006452736,3120332800,0.00039070330215112845,19265625000,0.5268856136059141,-1,7448702976,15034892288,1,1607717635092,2981402,2046875000,1,546875000,16,1,22,1,1,1,0,1,18,1,1,23,6,40976,40976,0,0,1,0,0.0572444,0,40976,6,40976,2211,2211,0,1,0.01,1,104857600,117440512,1655701504,17117760,6120192,5963776,2555904,251658240,5860928,18,16,0,0,22,23,0,19.28125,1607717635.092,0.0633412,335,335,0,1
